market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-05,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-06,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-07,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-08,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-09,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-10,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-11,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-12,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-13,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-14,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-15,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-16,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-17,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-18,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-19,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-20,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-21,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-22,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-23,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-24,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-25,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-26,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-27,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-28,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-29,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-06-30,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-01,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-02,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-03,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-04,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-05,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-06,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-07,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-08,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-09,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-10,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-11,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-12,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-13,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-14,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-15,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-16,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-17,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-18,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-19,,,,0.1,56561,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-20,0.1,0.1,0.1,0.1,56571,10,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-21,,,,0.1,56571,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-22,,,,0.1,56571,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-23,0.1,0.1,0.1,0.1,58655,2222,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-24,,,,0.1,58655,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-25,,,,0.1,58655,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-26,,,,0.1,58655,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-27,,,,0.1,58655,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-28,0.1,0.1,0.1,0.1,60877,2222,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-29,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-30,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-07-31,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-01,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-02,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-03,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-04,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-05,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-06,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-07,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-08,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-09,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-10,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-11,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-12,,,,0.1,60877,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-13,0.1,0.1,0.1,0.1,64210,3333,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-14,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-15,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-16,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-17,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-18,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-19,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-20,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-21,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-22,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-23,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-24,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-25,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-26,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-27,0.1,0.1,0.1,0.1,64210,1851,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-28,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-29,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-30,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-08-31,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-01,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-02,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-03,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-04,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-05,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-06,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-07,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-08,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-09,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-10,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-11,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-12,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-13,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-14,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-15,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-16,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-17,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-18,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-19,,,,0.1,64210,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-20,0.1,0.1,0.1,0.1,64233,24,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-21,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-22,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-23,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-24,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-25,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-26,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-27,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-28,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-29,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-09-30,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-01,,,,0.1,64233,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-02,0.1,0.1,0.1,0.1,64239,6,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-03,0.1,0.1,0.1,0.1,64243,4,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-04,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-05,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-06,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-07,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-08,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-09,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-10,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-11,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-12,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-13,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-14,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-15,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-16,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-17,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-18,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-19,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-20,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-21,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-22,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-23,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-24,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-25,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-26,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-27,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-28,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-29,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-30,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-10-31,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-11-01,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-11-02,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-11-03,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-11-04,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-11-05,,,,0.1,64243,0,0.5,0.1
754267,2012.PRES.BLOOMBERG,Michael Bloomberg to be elected President in 2012,2012-11-06,0.1,0.1,0.1,0.1,64243,2019,0.5,0.1
