market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-02,26.0,26.0,26.0,27.0,333,9,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-03,0.0,0.0,0.0,27.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-04,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-05,22.0,28.0,22.0,24.0,333,690,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-06,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-07,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-08,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-09,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-10,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-11,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-12,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-13,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-14,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-15,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-16,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-17,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-18,0.0,0.0,0.0,24.0,333,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-19,30.0,30.0,27.0,30.0,321,100,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-20,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-21,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-22,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-23,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-24,0.0,0.0,0.0,0.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-25,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-26,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-27,0.0,0.0,0.0,30.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-28,0.0,0.0,0.0,0.0,321,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-29,25.0,25.0,25.0,27.0,319,2,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-04-30,0.0,0.0,0.0,27.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-01,0.0,0.0,0.0,27.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-02,0.0,0.0,0.0,27.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-03,0.0,0.0,0.0,27.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-04,0.0,0.0,0.0,27.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-05,0.0,0.0,0.0,26.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-06,25.0,25.0,25.0,26.0,319,10,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-07,0.0,0.0,0.0,26.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-08,25.0,25.0,15.0,15.0,322,110,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-09,0.0,0.0,0.0,15.0,322,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-10,19.0,20.0,19.0,17.0,319,10,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-11,0.0,0.0,0.0,17.0,319,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-12,10.0,10.0,10.0,17.0,318,1,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-13,0.0,0.0,0.0,17.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-15,0.0,0.0,0.0,17.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-16,20.0,20.0,20.0,15.0,318,9,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-17,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-18,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-19,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-20,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-21,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-22,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-23,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-24,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-25,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-26,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-27,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-28,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-29,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-30,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-05-31,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-01,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-02,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-03,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-04,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-05,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-06,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-07,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-08,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-09,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-10,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-11,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-12,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-13,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-14,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-15,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-16,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-17,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-18,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-19,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-20,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-21,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-22,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-23,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-24,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-25,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-26,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-27,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-28,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-29,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-06-30,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-01,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-02,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-03,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-04,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-05,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-06,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-07,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-08,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-09,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-10,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-11,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-12,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-13,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-14,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-15,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-16,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-17,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-18,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-19,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-20,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-21,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-22,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-23,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-24,15.0,15.0,15.0,12.0,318,1,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-25,0.0,0.0,0.0,12.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-26,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-27,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-28,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-29,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-30,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-07-31,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-01,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-02,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-03,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-04,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-05,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-06,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-07,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-08,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-09,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-10,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-11,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-12,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-13,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-14,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-15,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-16,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-17,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-18,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-19,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-20,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-21,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-22,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-23,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-24,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-25,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-26,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-27,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-28,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-29,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-30,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-08-31,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-01,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-02,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-03,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-04,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-05,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-06,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-07,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-08,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-09,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-10,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-11,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-12,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-13,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-14,0.0,0.0,0.0,15.0,318,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-15,10.0,10.0,10.0,10.0,218,100,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-16,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-17,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-18,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-19,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-20,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-21,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-22,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-23,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-24,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-25,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-26,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-27,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-28,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-29,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-09-30,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-01,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-02,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-03,0.0,0.0,0.0,10.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-04,0.0,0.0,0.0,4.0,218,0,30.0,8.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-05,6.0,6.0,6.0,4.0,218,1,30.0,6.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-06,0.0,0.0,0.0,4.0,218,0,30.0,6.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-07,0.0,0.0,0.0,4.0,218,0,30.0,6.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-08,0.0,0.0,0.0,7.0,218,0,30.0,6.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-09,0.0,0.0,0.0,7.0,218,0,30.0,6.0
50977,PALESTINE.STATE.31DEC05,Palestinian State to be established by 31 December 2005,2004-10-10,0.0,0.0,0.0,12.0,218,0,30.0,6.0
