market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-06-30,0.0,0.0,0.0,3.0,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-01,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-02,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-03,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-04,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-05,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-06,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-07,0.0,0.0,0.0,1.5,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-08,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-09,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-10,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-11,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-12,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-13,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-14,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-15,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-16,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-17,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-18,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-19,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-20,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-21,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-22,0.0,0.0,0.0,1.6,50,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-23,3.0,3.0,3.0,1.6,145,95,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-24,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-25,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-26,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-27,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-28,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-29,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-30,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-07-31,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-01,0.0,0.0,0.0,3.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-02,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-03,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-04,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-05,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-06,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-07,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-08,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-09,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-10,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-11,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-12,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-13,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-14,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-15,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-16,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-17,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-18,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-19,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-20,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-21,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-22,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-23,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-24,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-25,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-26,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-27,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-28,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-29,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-30,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-08-31,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-01,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-02,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-03,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-04,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-05,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-06,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-07,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-08,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-09,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-10,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-11,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-12,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-13,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-14,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-15,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-16,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-17,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-18,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-19,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-20,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-21,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-22,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-23,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-24,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-25,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-26,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-27,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-28,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-29,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-09-30,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-01,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-02,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-03,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-04,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-05,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-06,0.0,0.0,0.0,5.0,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-07,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-08,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-09,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-10,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-11,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-12,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-13,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-14,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-15,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-16,0.0,0.0,0.0,5.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-17,0.0,0.0,0.0,7.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-18,0.0,0.0,0.0,7.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-19,0.0,0.0,0.0,7.5,145,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-20,6.5,6.5,6.5,6.5,155,10,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-21,0.0,0.0,0.0,6.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-22,0.0,0.0,0.0,6.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-23,0.0,0.0,0.0,6.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-24,0.0,0.0,0.0,6.2,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-25,0.0,0.0,0.0,6.2,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-26,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-27,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-28,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-29,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-30,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-10-31,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-01,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-02,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-03,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-04,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-05,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-06,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-07,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-08,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-09,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-10,0.0,0.0,0.0,5.1,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-11,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-12,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-13,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-14,0.0,0.0,0.0,5.5,155,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-15,5.1,5.1,5.1,5.1,150,5,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-16,0.0,0.0,0.0,5.1,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-17,0.0,0.0,0.0,5.1,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-18,0.0,0.0,0.0,6.5,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-19,0.0,0.0,0.0,6.5,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-20,0.0,0.0,0.0,6.5,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-21,0.0,0.0,0.0,6.5,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-22,0.0,0.0,0.0,5.2,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-23,0.0,0.0,0.0,5.2,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-24,0.0,0.0,0.0,5.2,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-25,0.0,0.0,0.0,6.5,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-26,0.0,0.0,0.0,6.5,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-27,5.1,5.1,5.1,6.0,150,2,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-28,0.0,0.0,0.0,6.0,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-29,0.0,0.0,0.0,6.0,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-11-30,0.0,0.0,0.0,6.0,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-01,0.0,0.0,0.0,6.0,150,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-02,4.5,4.5,4.5,6.5,150,3,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-03,4.1,4.1,4.1,4.1,151,1,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-04,4.1,4.1,4.1,4.1,152,1,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-05,4.2,4.2,4.2,4.2,153,1,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-06,0.0,0.0,0.0,4.2,153,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-07,0.0,0.0,0.0,4.2,153,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-08,0.0,0.0,0.0,4.2,153,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-09,0.0,0.0,0.0,4.2,153,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-10,0.0,0.0,0.0,4.2,153,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-11,0.0,0.0,0.0,4.2,153,0,30.0,3.0
441748,08.COMBO.CLINTON-McCAIN,Hillary Clinton and John McCain to contest 2008 Presidential Election,2007-12-12,0.0,0.0,0.0,4.2,153,0,30.0,3.0
